Middle layer Super Output Areas Code,Middle layer Super Output Areas,1_bedroom
E02000696,Merton 008,819
E02000697,Merton 009,815
E02000698,Merton 010,283
E02000699,Merton 011,487
E02000700,Merton 012,758
E02000701,Merton 013,404
E02000702,Merton 014,651
E02000703,Merton 015,233
E02000704,Merton 016,804
E02000705,Merton 017,159
E02000706,Merton 018,744
E02000707,Merton 019,406
E02000708,Merton 020,298
E02000709,Merton 021,179
E02000710,Merton 022,680
E02000711,Merton 023,444
E02000712,Merton 024,346
E02000713,Merton 025,71
E02000714,Newham 001,459
E02000715,Newham 002,364
E02000716,Newham 003,425
E02000717,Newham 004,456
E02000718,Newham 005,438
E02000719,Newham 006,735
E02000720,Newham 007,322
E02000721,Newham 008,588
E02000722,Newham 009,716
E02000723,Newham 010,319
E02000724,Newham 011,273
E02000725,Newham 012,1250
E02000727,Newham 014,359
E02000728,Newham 015,245
E02000729,Newham 016,432
E02000730,Newham 017,406
E02000731,Newham 018,456
E02000732,Newham 019,623
E02000733,Newham 020,775
E02000734,Newham 021,620
E02000735,Newham 022,593
E02000736,Newham 023,305
E02000737,Newham 024,384
E02000738,Newham 025,339
E02000739,Newham 026,494
E02000740,Newham 027,582
E02000741,Newham 028,302
E02000742,Newham 029,244
E02000743,Newham 030,926
E02000744,Newham 031,681
E02000745,Newham 032,550
E02000746,Newham 033,897
E02000747,Newham 034,1751
E02000748,Newham 035,422
E02000749,Newham 036,684
E02000751,Redbridge 001,402
E02000752,Redbridge 002,515
E02000753,Redbridge 003,239
E02000754,Redbridge 004,260
E02000755,Redbridge 005,206
E02000756,Redbridge 006,563
E02000757,Redbridge 007,1090
E02000758,Redbridge 008,192
E02000759,Redbridge 009,647
E02000760,Redbridge 010,258
E02000762,Redbridge 012,197
E02000763,Redbridge 013,230
E02000764,Redbridge 014,1105
E02000765,Redbridge 015,314
E02000767,Redbridge 017,349
E02000768,Redbridge 018,190
E02000770,Redbridge 020,342
E02000772,Redbridge 022,389
E02000773,Redbridge 023,351
E02000774,Redbridge 024,405
E02000776,Redbridge 026,374
E02000777,Redbridge 027,319
E02000779,Redbridge 029,958
E02000781,Redbridge 031,321
E02000782,Redbridge 032,699
E02000783,Redbridge 033,225
E02000784,Richmond upon Thames 001,580
E02000785,Richmond upon Thames 002,593
E02000786,Richmond upon Thames 003,753
E02000787,Richmond upon Thames 004,1128
E02000788,Richmond upon Thames 005,468
E02000789,Richmond upon Thames 006,605
E02000790,Richmond upon Thames 007,399
E02000791,Richmond upon Thames 008,714
E02000792,Richmond upon Thames 009,684
E02000793,Richmond upon Thames 010,264
E02000794,Richmond upon Thames 011,252
E02000795,Richmond upon Thames 012,154
E02000796,Richmond upon Thames 013,349
E02000797,Richmond upon Thames 014,793
E02000798,Richmond upon Thames 015,369
E02000799,Richmond upon Thames 016,375
E02000800,Richmond upon Thames 017,215
E02000801,Richmond upon Thames 018,453
E02000802,Richmond upon Thames 019,506
E02000803,Richmond upon Thames 020,755
E02000804,Richmond upon Thames 021,672
E02000805,Richmond upon Thames 022,941
E02000806,Richmond upon Thames 023,601
E02000807,Southwark 001,830
E02000808,Southwark 002,1784
E02000810,Southwark 004,1737
E02000812,Southwark 006,1497
E02000813,Southwark 007,1356
E02000814,Southwark 008,1330
E02000815,Southwark 009,937
E02000816,Southwark 010,1280
E02000817,Southwark 011,1058
E02000818,Southwark 012,1589
E02000819,Southwark 013,1311
E02000820,Southwark 014,1531
E02000821,Southwark 015,843
E02000822,Southwark 016,847
E02000823,Southwark 017,798
E02000824,Southwark 018,832
E02000825,Southwark 019,1044
E02000826,Southwark 020,1276
E02000827,Southwark 021,1689
E02000828,Southwark 022,1070
E02000829,Southwark 023,1791
E02000830,Southwark 024,1112
E02000831,Southwark 025,1039
E02000832,Southwark 026,1193
E02000833,Southwark 027,607
E02000834,Southwark 028,1164
E02000835,Southwark 029,538
E02000836,Southwark 030,584
E02000837,Southwark 031,283
E02000838,Southwark 032,757
E02000839,Southwark 033,497
E02000840,Sutton 001,541
E02000841,Sutton 002,414
E02000842,Sutton 003,159
E02000843,Sutton 004,863
E02000844,Sutton 005,372
E02000845,Sutton 006,266
E02000846,Sutton 007,162
E02000847,Sutton 008,382
E02000848,Sutton 009,144
E02000849,Sutton 010,451
E02000850,Sutton 011,305
E02000851,Sutton 012,1672
E02000852,Sutton 013,470
E02000853,Sutton 014,374
E02000854,Sutton 015,370
E02000855,Sutton 016,294
E02000856,Sutton 017,799
E02000857,Sutton 018,1247
E02000858,Sutton 019,779
E02000859,Sutton 020,567
E02000860,Sutton 021,1590
E02000861,Sutton 022,130
E02000863,Sutton 024,112
E02000864,Tower Hamlets 001,1365
E02000865,Tower Hamlets 002,916
E02000866,Tower Hamlets 003,1058
E02000867,Tower Hamlets 004,1547
E02000868,Tower Hamlets 005,829
E02000869,Tower Hamlets 006,828
E02000870,Tower Hamlets 007,603
E02000871,Tower Hamlets 008,1333
E02000872,Tower Hamlets 009,883
E02000873,Tower Hamlets 010,615
E02000874,Tower Hamlets 011,721
E02000875,Tower Hamlets 012,1636
E02000876,Tower Hamlets 013,1097
E02000877,Tower Hamlets 014,1245
E02000878,Tower Hamlets 015,1441
E02000879,Tower Hamlets 016,872
E02000880,Tower Hamlets 017,717
E02000881,Tower Hamlets 018,1064
E02000882,Tower Hamlets 019,996
E02000883,Tower Hamlets 020,682
E02000884,Tower Hamlets 021,2036
E02000885,Tower Hamlets 022,732
E02000886,Tower Hamlets 023,1080
E02000887,Tower Hamlets 024,1102
E02000888,Tower Hamlets 025,993
E02000889,Tower Hamlets 026,1298
E02000890,Tower Hamlets 027,992
E02000893,Tower Hamlets 030,671
E02000894,Tower Hamlets 031,1220
E02000895,Waltham Forest 001,427
E02000896,Waltham Forest 002,494
E02000897,Waltham Forest 003,482
E02000898,Waltham Forest 004,479
E02000899,Waltham Forest 005,393
E02000900,Waltham Forest 006,344
E02000901,Waltham Forest 007,459
E02000902,Waltham Forest 008,496
E02000903,Waltham Forest 009,381
E02000904,Waltham Forest 010,397
E02000905,Waltham Forest 011,447
E02000906,Waltham Forest 012,570
E02000907,Waltham Forest 013,1299
E02000908,Waltham Forest 014,1643
E02000909,Waltham Forest 015,659
E02000910,Waltham Forest 016,1126
E02000911,Waltham Forest 017,1263
E02000912,Waltham Forest 018,476
E02000913,Waltham Forest 019,457
E02000914,Waltham Forest 020,1146
E02000915,Waltham Forest 021,822
E02000916,Waltham Forest 022,797
E02000917,Waltham Forest 023,713
E02000918,Waltham Forest 024,872
E02000919,Waltham Forest 025,640
