Middle layer Super Output Areas Code,Middle layer Super Output Areas,4_or_more_bedrooms
E02000883,Tower Hamlets 020,370
E02000884,Tower Hamlets 021,413
E02000885,Tower Hamlets 022,247
E02000886,Tower Hamlets 023,293
E02000887,Tower Hamlets 024,345
E02000888,Tower Hamlets 025,246
E02000889,Tower Hamlets 026,267
E02000890,Tower Hamlets 027,113
E02000893,Tower Hamlets 030,291
E02000894,Tower Hamlets 031,510
E02000895,Waltham Forest 001,735
E02000896,Waltham Forest 002,1190
E02000897,Waltham Forest 003,577
E02000898,Waltham Forest 004,717
E02000899,Waltham Forest 005,743
E02000900,Waltham Forest 006,571
E02000901,Waltham Forest 007,1075
E02000902,Waltham Forest 008,572
E02000903,Waltham Forest 009,440
E02000904,Waltham Forest 010,654
E02000905,Waltham Forest 011,672
E02000906,Waltham Forest 012,393
E02000907,Waltham Forest 013,408
E02000908,Waltham Forest 014,426
E02000909,Waltham Forest 015,635
E02000910,Waltham Forest 016,807
E02000911,Waltham Forest 017,548
E02000912,Waltham Forest 018,661
E02000913,Waltham Forest 019,912
E02000914,Waltham Forest 020,650
E02000915,Waltham Forest 021,684
E02000916,Waltham Forest 022,467
E02000917,Waltham Forest 023,408
E02000918,Waltham Forest 024,642
E02000919,Waltham Forest 025,654
E02000920,Waltham Forest 026,587
E02000921,Waltham Forest 027,540
E02000922,Waltham Forest 028,507
E02000923,Wandsworth 001,409
E02000925,Wandsworth 003,358
E02000926,Wandsworth 004,437
E02000927,Wandsworth 005,292
E02000928,Wandsworth 006,1103
E02000929,Wandsworth 007,240
E02000930,Wandsworth 008,764
E02000931,Wandsworth 009,1238
E02000932,Wandsworth 010,911
E02000933,Wandsworth 011,975
E02000934,Wandsworth 012,635
E02000935,Wandsworth 013,271
E02000936,Wandsworth 014,540
E02000937,Wandsworth 015,1177
E02000938,Wandsworth 016,726
E02000939,Wandsworth 017,1485
E02000940,Wandsworth 018,255
E02000941,Wandsworth 019,1285
E02000942,Wandsworth 020,1537
E02000943,Wandsworth 021,951
E02000944,Wandsworth 022,325
E02000945,Wandsworth 023,533
E02000946,Wandsworth 024,683
E02000947,Wandsworth 025,981
E02000948,Wandsworth 026,870
E02000949,Wandsworth 027,1366
E02000950,Wandsworth 028,538
E02000951,Wandsworth 029,657
E02000952,Wandsworth 030,663
E02000953,Wandsworth 031,641
E02000954,Wandsworth 032,795
E02000955,Wandsworth 033,604
E02000956,Wandsworth 034,362
E02000957,Wandsworth 035,703
E02000958,Wandsworth 036,1021
E02000959,Wandsworth 037,532
E02000960,Westminster 001,483
E02000961,Westminster 002,675
