Middle layer Super Output Areas Code,Middle layer Super Output Areas,No_cars
E02000798,Richmond upon Thames 015,881
E02000799,Richmond upon Thames 016,506
E02000800,Richmond upon Thames 017,566
E02000801,Richmond upon Thames 018,625
E02000802,Richmond upon Thames 019,609
E02000803,Richmond upon Thames 020,888
E02000804,Richmond upon Thames 021,872
E02000805,Richmond upon Thames 022,1187
E02000806,Richmond upon Thames 023,754
E02000807,Southwark 001,2018
E02000808,Southwark 002,3541
E02000810,Southwark 004,3636
E02000812,Southwark 006,3156
E02000813,Southwark 007,3007
E02000814,Southwark 008,2603
E02000815,Southwark 009,2482
E02000816,Southwark 010,2585
E02000817,Southwark 011,1853
E02000818,Southwark 012,3277
E02000819,Southwark 013,2345
E02000820,Southwark 014,3004
E02000821,Southwark 015,2012
E02000822,Southwark 016,1913
E02000823,Southwark 017,2375
E02000824,Southwark 018,2300
E02000825,Southwark 019,2290
E02000826,Southwark 020,2573
E02000827,Southwark 021,3499
E02000828,Southwark 022,2254
E02000829,Southwark 023,2788
E02000830,Southwark 024,1969
E02000831,Southwark 025,2191
E02000832,Southwark 026,2099
E02000833,Southwark 027,1706
E02000834,Southwark 028,1848
E02000835,Southwark 029,1220
E02000836,Southwark 030,1180
E02000837,Southwark 031,812
E02000838,Southwark 032,1626
E02000839,Southwark 033,1306
E02000840,Sutton 001,935
E02000841,Sutton 002,924
E02000842,Sutton 003,451
E02000843,Sutton 004,976
E02000844,Sutton 005,722
E02000845,Sutton 006,637
E02000846,Sutton 007,525
E02000847,Sutton 008,634
E02000848,Sutton 009,408
E02000849,Sutton 010,724
E02000850,Sutton 011,634
E02000851,Sutton 012,2071
E02000852,Sutton 013,760
E02000853,Sutton 014,711
E02000854,Sutton 015,630
E02000855,Sutton 016,571
E02000856,Sutton 017,898
E02000857,Sutton 018,1277
E02000858,Sutton 019,996
E02000859,Sutton 020,813
E02000860,Sutton 021,1587
E02000861,Sutton 022,281
E02000863,Sutton 024,246
E02000864,Tower Hamlets 001,2977
E02000865,Tower Hamlets 002,1943
E02000866,Tower Hamlets 003,2395
E02000867,Tower Hamlets 004,3153
E02000868,Tower Hamlets 005,1902
E02000869,Tower Hamlets 006,1663
E02000870,Tower Hamlets 007,1503
E02000871,Tower Hamlets 008,2737
E02000872,Tower Hamlets 009,2320
E02000873,Tower Hamlets 010,1862
E02000874,Tower Hamlets 011,1663
E02000875,Tower Hamlets 012,3344
E02000876,Tower Hamlets 013,1982
E02000877,Tower Hamlets 014,3223
E02000878,Tower Hamlets 015,3037
E02000879,Tower Hamlets 016,1917
E02000880,Tower Hamlets 017,1592
E02000881,Tower Hamlets 018,2471
E02000882,Tower Hamlets 019,2241
E02000883,Tower Hamlets 020,1893
E02000884,Tower Hamlets 021,4032
E02000885,Tower Hamlets 022,1559
E02000886,Tower Hamlets 023,2455
E02000887,Tower Hamlets 024,2573
E02000888,Tower Hamlets 025,2097
E02000889,Tower Hamlets 026,2624
E02000890,Tower Hamlets 027,1669
E02000893,Tower Hamlets 030,1667
E02000894,Tower Hamlets 031,2466
E02000895,Waltham Forest 001,807
E02000896,Waltham Forest 002,905
E02000897,Waltham Forest 003,860
E02000898,Waltham Forest 004,819
E02000899,Waltham Forest 005,848
E02000900,Waltham Forest 006,843
E02000901,Waltham Forest 007,892
E02000902,Waltham Forest 008,1034
E02000903,Waltham Forest 009,1281
E02000904,Waltham Forest 010,1104
E02000905,Waltham Forest 011,1443
E02000906,Waltham Forest 012,1725
E02000907,Waltham Forest 013,2110
E02000908,Waltham Forest 014,2944
E02000909,Waltham Forest 015,1491
E02000910,Waltham Forest 016,2334
E02000911,Waltham Forest 017,2724
E02000912,Waltham Forest 018,1399
E02000913,Waltham Forest 019,1199
E02000914,Waltham Forest 020,2080
E02000915,Waltham Forest 021,1487
E02000916,Waltham Forest 022,2033
E02000917,Waltham Forest 023,1825
E02000918,Waltham Forest 024,1711
E02000919,Waltham Forest 025,1681
E02000920,Waltham Forest 026,2030
E02000921,Waltham Forest 027,2095
E02000922,Waltham Forest 028,1634
E02000923,Wandsworth 001,1744
E02000925,Wandsworth 003,1982
E02000926,Wandsworth 004,3002
E02000927,Wandsworth 005,1710
E02000928,Wandsworth 006,1339
E02000929,Wandsworth 007,2238
E02000930,Wandsworth 008,2275
E02000931,Wandsworth 009,1449
E02000932,Wandsworth 010,2971
E02000933,Wandsworth 011,1551
E02000934,Wandsworth 012,2233
E02000935,Wandsworth 013,1263
E02000936,Wandsworth 014,2256
