Middle layer Super Output Areas Code,Middle layer Super Output Areas,Flats
E02000863,Sutton 024,320
E02000864,Tower Hamlets 001,3639
E02000865,Tower Hamlets 002,2250
E02000866,Tower Hamlets 003,2040
E02000867,Tower Hamlets 004,3586
E02000868,Tower Hamlets 005,2177
E02000869,Tower Hamlets 006,1835
E02000870,Tower Hamlets 007,1811
E02000871,Tower Hamlets 008,3738
E02000872,Tower Hamlets 009,2648
E02000873,Tower Hamlets 010,2518
E02000874,Tower Hamlets 011,2071
E02000875,Tower Hamlets 012,4502
E02000876,Tower Hamlets 013,2208
E02000877,Tower Hamlets 014,4101
E02000878,Tower Hamlets 015,2910
E02000879,Tower Hamlets 016,2296
E02000880,Tower Hamlets 017,1841
E02000881,Tower Hamlets 018,3130
E02000882,Tower Hamlets 019,2638
E02000883,Tower Hamlets 020,2402
E02000884,Tower Hamlets 021,4144
E02000885,Tower Hamlets 022,1965
E02000886,Tower Hamlets 023,3292
E02000887,Tower Hamlets 024,3373
E02000888,Tower Hamlets 025,2968
E02000889,Tower Hamlets 026,3114
E02000890,Tower Hamlets 027,2089
E02000893,Tower Hamlets 030,2257
E02000894,Tower Hamlets 031,3213
E02000895,Waltham Forest 001,755
E02000896,Waltham Forest 002,1058
E02000897,Waltham Forest 003,864
E02000898,Waltham Forest 004,931
E02000899,Waltham Forest 005,627
E02000900,Waltham Forest 006,621
E02000901,Waltham Forest 007,863
E02000902,Waltham Forest 008,1231
E02000903,Waltham Forest 009,844
E02000904,Waltham Forest 010,586
E02000905,Waltham Forest 011,707
E02000906,Waltham Forest 012,1233
E02000907,Waltham Forest 013,2436
E02000908,Waltham Forest 014,2785
E02000909,Waltham Forest 015,1226
E02000910,Waltham Forest 016,1453
E02000911,Waltham Forest 017,1794
E02000912,Waltham Forest 018,573
E02000913,Waltham Forest 019,440
E02000914,Waltham Forest 020,1618
E02000915,Waltham Forest 021,869
E02000916,Waltham Forest 022,1765
E02000917,Waltham Forest 023,1237
E02000918,Waltham Forest 024,1233
E02000919,Waltham Forest 025,568
E02000920,Waltham Forest 026,1479
E02000921,Waltham Forest 027,1229
E02000922,Waltham Forest 028,529
E02000923,Wandsworth 001,2572
E02000925,Wandsworth 003,2459
E02000926,Wandsworth 004,4395
E02000927,Wandsworth 005,983
E02000928,Wandsworth 006,1095
E02000929,Wandsworth 007,3072
E02000930,Wandsworth 008,1433
E02000931,Wandsworth 009,384
E02000932,Wandsworth 010,3266
E02000933,Wandsworth 011,1850
E02000934,Wandsworth 012,1618
E02000935,Wandsworth 013,2061
E02000936,Wandsworth 014,3270
E02000937,Wandsworth 015,614
E02000938,Wandsworth 016,2882
E02000939,Wandsworth 017,377
E02000940,Wandsworth 018,2953
E02000941,Wandsworth 019,821
