Middle layer Super Output Areas Code,Middle layer Super Output Areas,3_bedrooms
E02000588,Kensington and Chelsea 012,689
E02000589,Kensington and Chelsea 013,559
E02000590,Kensington and Chelsea 014,537
E02000591,Kensington and Chelsea 015,389
E02000592,Kensington and Chelsea 016,550
E02000593,Kensington and Chelsea 017,527
E02000594,Kensington and Chelsea 018,553
E02000595,Kensington and Chelsea 019,564
E02000596,Kensington and Chelsea 020,542
E02000597,Kensington and Chelsea 021,584
E02000598,Kingston upon Thames 001,1071
E02000599,Kingston upon Thames 002,582
E02000600,Kingston upon Thames 003,782
E02000601,Kingston upon Thames 004,1192
E02000602,Kingston upon Thames 005,890
E02000603,Kingston upon Thames 006,1362
E02000604,Kingston upon Thames 007,1162
E02000605,Kingston upon Thames 008,1167
E02000606,Kingston upon Thames 009,756
E02000607,Kingston upon Thames 010,756
E02000608,Kingston upon Thames 011,376
E02000609,Kingston upon Thames 012,1125
E02000610,Kingston upon Thames 013,466
E02000611,Kingston upon Thames 014,1105
E02000612,Kingston upon Thames 015,1525
E02000613,Kingston upon Thames 016,952
E02000614,Kingston upon Thames 017,1775
E02000615,Kingston upon Thames 018,1595
E02000616,Kingston upon Thames 019,1223
E02000617,Kingston upon Thames 020,1474
E02000619,Lambeth 002,949
E02000620,Lambeth 003,912
E02000621,Lambeth 004,907
E02000622,Lambeth 005,913
E02000623,Lambeth 006,877
E02000624,Lambeth 007,858
E02000625,Lambeth 008,866
E02000626,Lambeth 009,841
E02000627,Lambeth 010,769
E02000628,Lambeth 011,1038
E02000629,Lambeth 012,874
E02000630,Lambeth 013,644
E02000631,Lambeth 014,865
E02000632,Lambeth 015,874
E02000633,Lambeth 016,812
E02000634,Lambeth 017,629
E02000635,Lambeth 018,896
E02000636,Lambeth 019,564
E02000637,Lambeth 020,675
E02000638,Lambeth 021,1019
E02000639,Lambeth 022,854
E02000640,Lambeth 023,1032
E02000641,Lambeth 024,968
E02000642,Lambeth 025,1069
E02000643,Lambeth 026,737
E02000644,Lambeth 027,874
E02000645,Lambeth 028,825
E02000646,Lambeth 029,711
E02000647,Lambeth 030,1013
E02000648,Lambeth 031,1005
E02000649,Lambeth 032,958
E02000650,Lambeth 033,998
E02000651,Lambeth 034,759
E02000652,Lambeth 035,1421
E02000653,Lewisham 001,894
E02000654,Lewisham 002,835
E02000655,Lewisham 003,947
E02000657,Lewisham 005,976
E02000658,Lewisham 006,777
E02000659,Lewisham 007,722
E02000660,Lewisham 008,638
E02000661,Lewisham 009,750
E02000662,Lewisham 010,917
E02000663,Lewisham 011,744
E02000665,Lewisham 013,884
E02000666,Lewisham 014,926
E02000667,Lewisham 015,1086
E02000668,Lewisham 016,883
E02000669,Lewisham 017,739
E02000670,Lewisham 018,707
E02000671,Lewisham 019,1001
E02000672,Lewisham 020,890
E02000673,Lewisham 021,805
E02000674,Lewisham 022,1454
E02000675,Lewisham 023,1338
E02000676,Lewisham 024,881
E02000677,Lewisham 025,861
E02000678,Lewisham 026,1159
E02000679,Lewisham 027,1022
E02000680,Lewisham 028,790
E02000681,Lewisham 029,1531
E02000682,Lewisham 030,1692
E02000683,Lewisham 031,1082
E02000685,Lewisham 033,970
E02000686,Lewisham 034,902
E02000687,Lewisham 035,933
E02000689,Merton 001,756
E02000690,Merton 002,378
E02000691,Merton 003,564
E02000692,Merton 004,554
E02000693,Merton 005,865
E02000694,Merton 006,1133
E02000695,Merton 007,1501
E02000696,Merton 008,1045
E02000697,Merton 009,767
E02000698,Merton 010,779
E02000699,Merton 011,978
E02000700,Merton 012,1063
E02000701,Merton 013,1400
E02000702,Merton 014,1292
E02000703,Merton 015,901
E02000704,Merton 016,996
E02000705,Merton 017,1739
E02000706,Merton 018,1355
E02000707,Merton 019,1507
E02000708,Merton 020,1473
E02000709,Merton 021,1487
E02000710,Merton 022,1204
E02000711,Merton 023,1307
E02000712,Merton 024,1474
E02000713,Merton 025,1723
E02000714,Newham 001,903
E02000715,Newham 002,866
E02000716,Newham 003,696
E02000717,Newham 004,747
E02000718,Newham 005,731
E02000719,Newham 006,730
E02000720,Newham 007,706
E02000721,Newham 008,825
E02000722,Newham 009,782
E02000723,Newham 010,1260
E02000724,Newham 011,1202
E02000725,Newham 012,799
E02000727,Newham 014,907
E02000728,Newham 015,1076
E02000729,Newham 016,709
E02000730,Newham 017,866
E02000731,Newham 018,1142
E02000732,Newham 019,916
E02000733,Newham 020,1112
E02000734,Newham 021,711
E02000735,Newham 022,935
E02000736,Newham 023,1239
E02000737,Newham 024,1300
E02000738,Newham 025,1207
E02000739,Newham 026,894
E02000740,Newham 027,774
E02000741,Newham 028,927
E02000742,Newham 029,1182
E02000743,Newham 030,1080
E02000744,Newham 031,1080
E02000745,Newham 032,992
E02000746,Newham 033,794
E02000747,Newham 034,1375
E02000748,Newham 035,671
E02000749,Newham 036,1203
E02000751,Redbridge 001,1038
E02000752,Redbridge 002,1479
E02000753,Redbridge 003,1162
