Middle layer Super Output Areas Code,Middle layer Super Output Areas,3_or_more_cars
E02000784,Richmond upon Thames 001,186
E02000785,Richmond upon Thames 002,148
E02000786,Richmond upon Thames 003,116
E02000787,Richmond upon Thames 004,134
E02000788,Richmond upon Thames 005,118
E02000789,Richmond upon Thames 006,97
E02000790,Richmond upon Thames 007,102
E02000791,Richmond upon Thames 008,96
E02000792,Richmond upon Thames 009,93
E02000793,Richmond upon Thames 010,214
E02000794,Richmond upon Thames 011,131
E02000795,Richmond upon Thames 012,200
E02000796,Richmond upon Thames 013,373
E02000797,Richmond upon Thames 014,66
E02000798,Richmond upon Thames 015,230
E02000799,Richmond upon Thames 016,142
E02000800,Richmond upon Thames 017,86
E02000801,Richmond upon Thames 018,111
E02000802,Richmond upon Thames 019,156
E02000803,Richmond upon Thames 020,269
E02000804,Richmond upon Thames 021,107
E02000805,Richmond upon Thames 022,201
E02000806,Richmond upon Thames 023,284
E02000807,Southwark 001,48
E02000808,Southwark 002,26
E02000810,Southwark 004,34
E02000812,Southwark 006,31
E02000813,Southwark 007,27
E02000814,Southwark 008,52
E02000815,Southwark 009,12
E02000816,Southwark 010,42
E02000817,Southwark 011,27
E02000818,Southwark 012,26
E02000819,Southwark 013,25
E02000820,Southwark 014,17
E02000821,Southwark 015,26
E02000822,Southwark 016,15
E02000823,Southwark 017,27
E02000824,Southwark 018,36
E02000825,Southwark 019,57
E02000826,Southwark 020,25
E02000827,Southwark 021,24
E02000828,Southwark 022,38
E02000829,Southwark 023,35
E02000830,Southwark 024,36
E02000831,Southwark 025,38
E02000832,Southwark 026,54
E02000833,Southwark 027,30
E02000834,Southwark 028,51
E02000835,Southwark 029,61
E02000836,Southwark 030,57
E02000837,Southwark 031,113
E02000838,Southwark 032,70
E02000839,Southwark 033,146
E02000840,Sutton 001,155
E02000841,Sutton 002,189
E02000842,Sutton 003,351
E02000843,Sutton 004,179
E02000844,Sutton 005,266
E02000845,Sutton 006,242
E02000846,Sutton 007,240
E02000847,Sutton 008,357
E02000848,Sutton 009,334
E02000849,Sutton 010,210
E02000850,Sutton 011,378
E02000851,Sutton 012,124
E02000852,Sutton 013,198
E02000853,Sutton 014,170
E02000854,Sutton 015,213
E02000855,Sutton 016,328
E02000856,Sutton 017,280
E02000857,Sutton 018,101
E02000858,Sutton 019,190
E02000859,Sutton 020,291
E02000860,Sutton 021,96
E02000861,Sutton 022,385
E02000863,Sutton 024,385
E02000864,Tower Hamlets 001,40
E02000865,Tower Hamlets 002,33
E02000866,Tower Hamlets 003,48
E02000867,Tower Hamlets 004,34
E02000868,Tower Hamlets 005,14
E02000869,Tower Hamlets 006,18
E02000870,Tower Hamlets 007,14
E02000871,Tower Hamlets 008,18
E02000872,Tower Hamlets 009,18
E02000873,Tower Hamlets 010,20
E02000874,Tower Hamlets 011,19
E02000875,Tower Hamlets 012,33
E02000876,Tower Hamlets 013,19
E02000877,Tower Hamlets 014,48
E02000878,Tower Hamlets 015,23
E02000879,Tower Hamlets 016,24
E02000880,Tower Hamlets 017,22
E02000881,Tower Hamlets 018,28
E02000882,Tower Hamlets 019,38
E02000883,Tower Hamlets 020,21
E02000884,Tower Hamlets 021,25
E02000885,Tower Hamlets 022,20
E02000886,Tower Hamlets 023,25
E02000887,Tower Hamlets 024,32
E02000888,Tower Hamlets 025,25
E02000889,Tower Hamlets 026,24
E02000890,Tower Hamlets 027,44
E02000893,Tower Hamlets 030,26
E02000894,Tower Hamlets 031,58
E02000895,Waltham Forest 001,290
E02000896,Waltham Forest 002,297
E02000897,Waltham Forest 003,216
E02000898,Waltham Forest 004,240
E02000899,Waltham Forest 005,267
E02000900,Waltham Forest 006,209
E02000901,Waltham Forest 007,225
E02000902,Waltham Forest 008,158
E02000903,Waltham Forest 009,102
E02000904,Waltham Forest 010,115
E02000905,Waltham Forest 011,104
E02000906,Waltham Forest 012,52
E02000907,Waltham Forest 013,63
E02000908,Waltham Forest 014,43
E02000909,Waltham Forest 015,80
E02000910,Waltham Forest 016,55
E02000911,Waltham Forest 017,49
E02000912,Waltham Forest 018,92
E02000913,Waltham Forest 019,139
E02000914,Waltham Forest 020,97
