Middle layer Super Output Areas Code,Middle layer Super Output Areas,Semi_detached
E02000919,Waltham Forest 025,296
E02000920,Waltham Forest 026,388
E02000921,Waltham Forest 027,434
E02000922,Waltham Forest 028,402
E02000923,Wandsworth 001,85
E02000925,Wandsworth 003,130
E02000926,Wandsworth 004,239
E02000927,Wandsworth 005,143
E02000928,Wandsworth 006,452
E02000929,Wandsworth 007,50
E02000930,Wandsworth 008,118
E02000931,Wandsworth 009,184
E02000932,Wandsworth 010,269
E02000933,Wandsworth 011,533
E02000934,Wandsworth 012,200
E02000935,Wandsworth 013,47
E02000936,Wandsworth 014,178
E02000937,Wandsworth 015,454
E02000938,Wandsworth 016,281
E02000939,Wandsworth 017,462
E02000940,Wandsworth 018,149
E02000941,Wandsworth 019,301
E02000942,Wandsworth 020,678
E02000943,Wandsworth 021,202
E02000944,Wandsworth 022,191
E02000945,Wandsworth 023,175
E02000946,Wandsworth 024,274
E02000947,Wandsworth 025,159
E02000948,Wandsworth 026,302
E02000949,Wandsworth 027,693
E02000950,Wandsworth 028,180
E02000951,Wandsworth 029,281
E02000952,Wandsworth 030,158
E02000953,Wandsworth 031,108
E02000954,Wandsworth 032,264
E02000955,Wandsworth 033,395
E02000956,Wandsworth 034,142
