Middle layer Super Output Areas Code,Middle layer Super Output Areas,social_rented
E02000621,Lambeth 004,548
E02000622,Lambeth 005,664
E02000623,Lambeth 006,1006
E02000624,Lambeth 007,1072
E02000625,Lambeth 008,1143
E02000626,Lambeth 009,1627
E02000627,Lambeth 010,502
E02000628,Lambeth 011,1289
E02000629,Lambeth 012,685
E02000630,Lambeth 013,625
E02000631,Lambeth 014,281
E02000632,Lambeth 015,276
E02000633,Lambeth 016,913
E02000634,Lambeth 017,1008
E02000635,Lambeth 018,479
E02000636,Lambeth 019,298
E02000637,Lambeth 020,282
E02000638,Lambeth 021,1042
E02000639,Lambeth 022,568
E02000640,Lambeth 023,498
E02000641,Lambeth 024,1026
E02000642,Lambeth 025,436
E02000643,Lambeth 026,689
E02000644,Lambeth 027,350
E02000645,Lambeth 028,436
E02000646,Lambeth 029,156
E02000647,Lambeth 030,357
E02000648,Lambeth 031,1154
E02000649,Lambeth 032,429
E02000650,Lambeth 033,788
E02000651,Lambeth 034,281
E02000652,Lambeth 035,121
E02000653,Lewisham 001,1092
E02000654,Lewisham 002,1339
E02000655,Lewisham 003,799
E02000657,Lewisham 005,587
E02000658,Lewisham 006,657
E02000659,Lewisham 007,505
E02000660,Lewisham 008,547
E02000661,Lewisham 009,485
E02000662,Lewisham 010,768
E02000663,Lewisham 011,232
E02000665,Lewisham 013,304
E02000666,Lewisham 014,263
E02000667,Lewisham 015,91
E02000668,Lewisham 016,153
E02000669,Lewisham 017,170
E02000670,Lewisham 018,196
E02000671,Lewisham 019,271
E02000672,Lewisham 020,283
E02000673,Lewisham 021,270
E02000674,Lewisham 022,88
E02000675,Lewisham 023,109
E02000676,Lewisham 024,196
E02000677,Lewisham 025,85
E02000678,Lewisham 026,213
E02000679,Lewisham 027,655
E02000680,Lewisham 028,430
E02000681,Lewisham 029,448
E02000682,Lewisham 030,311
E02000683,Lewisham 031,202
E02000685,Lewisham 033,615
E02000686,Lewisham 034,557
E02000687,Lewisham 035,673
E02000689,Merton 001,82
E02000690,Merton 002,25
E02000691,Merton 003,49
E02000692,Merton 004,24
E02000693,Merton 005,63
E02000694,Merton 006,82
E02000695,Merton 007,34
E02000696,Merton 008,124
E02000697,Merton 009,28
E02000698,Merton 010,33
E02000699,Merton 011,26
E02000700,Merton 012,248
E02000701,Merton 013,81
E02000702,Merton 014,185
E02000703,Merton 015,17
E02000704,Merton 016,98
E02000705,Merton 017,27
E02000706,Merton 018,333
E02000707,Merton 019,128
E02000708,Merton 020,44
E02000709,Merton 021,26
E02000710,Merton 022,156
E02000711,Merton 023,203
E02000712,Merton 024,216
E02000713,Merton 025,14
E02000714,Newham 001,343
E02000715,Newham 002,401
E02000716,Newham 003,264
E02000717,Newham 004,316
E02000718,Newham 005,717
E02000719,Newham 006,395
E02000720,Newham 007,119
E02000721,Newham 008,281
E02000722,Newham 009,455
E02000723,Newham 010,198
E02000724,Newham 011,178
E02000725,Newham 012,696
E02000727,Newham 014,223
E02000728,Newham 015,124
E02000729,Newham 016,165
E02000730,Newham 017,125
E02000731,Newham 018,214
E02000732,Newham 019,597
E02000733,Newham 020,1170
E02000734,Newham 021,698
E02000735,Newham 022,448
E02000736,Newham 023,615
E02000737,Newham 024,590
E02000738,Newham 025,223
E02000739,Newham 026,467
E02000740,Newham 027,669
E02000741,Newham 028,458
E02000742,Newham 029,507
E02000743,Newham 030,1043
E02000744,Newham 031,526
E02000745,Newham 032,453
E02000746,Newham 033,307
E02000747,Newham 034,1012
E02000748,Newham 035,217
E02000749,Newham 036,978
E02000751,Redbridge 001,92
E02000752,Redbridge 002,668
E02000753,Redbridge 003,409
E02000754,Redbridge 004,270
E02000755,Redbridge 005,221
E02000756,Redbridge 006,373
E02000757,Redbridge 007,187
E02000758,Redbridge 008,187
E02000759,Redbridge 009,533
E02000760,Redbridge 010,286
E02000762,Redbridge 012,68
E02000763,Redbridge 013,269
E02000764,Redbridge 014,260
E02000765,Redbridge 015,115
E02000767,Redbridge 017,101
E02000768,Redbridge 018,77
E02000770,Redbridge 020,95
E02000772,Redbridge 022,76
E02000773,Redbridge 023,182
E02000774,Redbridge 024,47
E02000776,Redbridge 026,69
E02000777,Redbridge 027,220
E02000779,Redbridge 029,151
E02000781,Redbridge 031,196
E02000782,Redbridge 032,319
E02000783,Redbridge 033,190
E02000784,Richmond upon Thames 001,169
E02000785,Richmond upon Thames 002,37
E02000786,Richmond upon Thames 003,144
E02000787,Richmond upon Thames 004,180
E02000788,Richmond upon Thames 005,36
E02000789,Richmond upon Thames 006,32
E02000790,Richmond upon Thames 007,12
E02000791,Richmond upon Thames 008,18
E02000792,Richmond upon Thames 009,20
E02000793,Richmond upon Thames 010,47
E02000794,Richmond upon Thames 011,24
E02000795,Richmond upon Thames 012,39
E02000796,Richmond upon Thames 013,201
E02000797,Richmond upon Thames 014,22
E02000798,Richmond upon Thames 015,131
E02000799,Richmond upon Thames 016,28
E02000800,Richmond upon Thames 017,165
E02000801,Richmond upon Thames 018,15
E02000802,Richmond upon Thames 019,37
E02000803,Richmond upon Thames 020,191
E02000804,Richmond upon Thames 021,58
E02000805,Richmond upon Thames 022,109
E02000806,Richmond upon Thames 023,112
E02000807,Southwark 001,242
E02000808,Southwark 002,740
E02000810,Southwark 004,1560
E02000812,Southwark 006,1456
E02000813,Southwark 007,1550
E02000814,Southwark 008,264
