Middle layer Super Output Areas Code,Middle layer Super Output Areas,owns_with_mortgage
E02000784,Richmond upon Thames 001,1052
E02000785,Richmond upon Thames 002,1221
E02000786,Richmond upon Thames 003,1551
E02000787,Richmond upon Thames 004,1568
E02000788,Richmond upon Thames 005,1319
E02000789,Richmond upon Thames 006,668
E02000790,Richmond upon Thames 007,1031
E02000791,Richmond upon Thames 008,646
E02000792,Richmond upon Thames 009,942
E02000793,Richmond upon Thames 010,1056
E02000794,Richmond upon Thames 011,1082
E02000795,Richmond upon Thames 012,887
E02000796,Richmond upon Thames 013,1217
E02000797,Richmond upon Thames 014,1170
E02000798,Richmond upon Thames 015,1743
E02000799,Richmond upon Thames 016,813
E02000800,Richmond upon Thames 017,604
E02000801,Richmond upon Thames 018,1097
E02000802,Richmond upon Thames 019,1102
E02000803,Richmond upon Thames 020,1196
E02000804,Richmond upon Thames 021,965
E02000805,Richmond upon Thames 022,1444
E02000806,Richmond upon Thames 023,1450
E02000807,Southwark 001,805
E02000808,Southwark 002,562
E02000810,Southwark 004,763
E02000812,Southwark 006,574
E02000813,Southwark 007,487
E02000814,Southwark 008,926
E02000815,Southwark 009,336
E02000816,Southwark 010,657
E02000817,Southwark 011,342
E02000818,Southwark 012,701
E02000819,Southwark 013,328
E02000820,Southwark 014,593
E02000821,Southwark 015,287
E02000822,Southwark 016,227
E02000823,Southwark 017,500
E02000824,Southwark 018,423
E02000825,Southwark 019,496
E02000826,Southwark 020,803
E02000827,Southwark 021,748
E02000828,Southwark 022,547
E02000829,Southwark 023,973
E02000830,Southwark 024,952
E02000831,Southwark 025,979
E02000832,Southwark 026,862
E02000833,Southwark 027,702
E02000834,Southwark 028,1204
E02000835,Southwark 029,1030
E02000836,Southwark 030,1201
E02000837,Southwark 031,1072
E02000838,Southwark 032,1262
E02000839,Southwark 033,953
E02000840,Sutton 001,1173
E02000841,Sutton 002,991
E02000842,Sutton 003,1200
E02000843,Sutton 004,1701
E02000844,Sutton 005,1273
E02000845,Sutton 006,1490
E02000846,Sutton 007,1152
E02000847,Sutton 008,1491
E02000848,Sutton 009,1347
E02000849,Sutton 010,1182
E02000850,Sutton 011,1826
E02000851,Sutton 012,1197
E02000852,Sutton 013,1308
E02000853,Sutton 014,1280
E02000854,Sutton 015,1179
E02000855,Sutton 016,1155
E02000856,Sutton 017,1404
E02000857,Sutton 018,993
E02000858,Sutton 019,733
E02000859,Sutton 020,1146
E02000860,Sutton 021,901
E02000861,Sutton 022,1173
E02000863,Sutton 024,1066
E02000864,Tower Hamlets 001,997
E02000865,Tower Hamlets 002,351
E02000866,Tower Hamlets 003,851
E02000867,Tower Hamlets 004,991
E02000868,Tower Hamlets 005,469
E02000869,Tower Hamlets 006,324
