Middle layer Super Output Areas Code,Middle layer Super Output Areas,Distance travelled to work (11 categories),Observation
E02000517,Hillingdon 024,Works mainly from home,968
E02000518,Hillingdon 025,Works mainly from home,984
E02000519,Hillingdon 026,Works mainly from home,771
E02000520,Hillingdon 027,Works mainly from home,1371
E02000521,Hillingdon 028,Works mainly from home,1761
E02000522,Hillingdon 029,Works mainly from home,1290
E02000523,Hillingdon 030,Works mainly from home,1340
E02000524,Hillingdon 031,Works mainly from home,791
E02000525,Hillingdon 032,Works mainly from home,798
E02000526,Hounslow 001,Works mainly from home,2799
E02000529,Hounslow 004,Works mainly from home,1072
E02000530,Hounslow 005,Works mainly from home,624
E02000531,Hounslow 006,Works mainly from home,2654
E02000532,Hounslow 007,Works mainly from home,2485
E02000533,Hounslow 008,Works mainly from home,2494
E02000534,Hounslow 009,Works mainly from home,1821
E02000535,Hounslow 010,Works mainly from home,1140
E02000536,Hounslow 011,Works mainly from home,1378
E02000537,Hounslow 012,Works mainly from home,1588
E02000538,Hounslow 013,Works mainly from home,823
E02000539,Hounslow 014,Works mainly from home,2571
E02000540,Hounslow 015,Works mainly from home,1907
E02000541,Hounslow 016,Works mainly from home,861
E02000542,Hounslow 017,Works mainly from home,1298
E02000543,Hounslow 018,Works mainly from home,2025
E02000544,Hounslow 019,Works mainly from home,1377
E02000545,Hounslow 020,Works mainly from home,1650
E02000546,Hounslow 021,Works mainly from home,1233
E02000547,Hounslow 022,Works mainly from home,1087
E02000548,Hounslow 023,Works mainly from home,904
E02000549,Hounslow 024,Works mainly from home,1397
E02000550,Hounslow 025,Works mainly from home,1386
E02000551,Hounslow 026,Works mainly from home,826
E02000552,Hounslow 027,Works mainly from home,1168
E02000553,Hounslow 028,Works mainly from home,812
E02000554,Islington 001,Works mainly from home,2148
E02000555,Islington 002,Works mainly from home,2651
E02000556,Islington 003,Works mainly from home,3566
E02000557,Islington 004,Works mainly from home,2439
E02000558,Islington 005,Works mainly from home,1599
E02000559,Islington 006,Works mainly from home,3507
E02000560,Islington 007,Works mainly from home,2388
E02000561,Islington 008,Works mainly from home,2555
E02000562,Islington 009,Works mainly from home,2573
E02000563,Islington 010,Works mainly from home,1980
E02000564,Islington 011,Works mainly from home,4197
E02000565,Islington 012,Works mainly from home,2379
E02000566,Islington 013,Works mainly from home,3287
E02000567,Islington 014,Works mainly from home,3608
E02000568,Islington 015,Works mainly from home,2492
E02000569,Islington 016,Works mainly from home,3012
E02000570,Islington 017,Works mainly from home,3293
E02000571,Islington 018,Works mainly from home,2663
E02000572,Islington 019,Works mainly from home,1607
E02000573,Islington 020,Works mainly from home,3999
E02000574,Islington 021,Works mainly from home,2366
E02000575,Islington 022,Works mainly from home,3440
E02000576,Islington 023,Works mainly from home,2780
E02000577,Kensington and Chelsea 001,Works mainly from home,1198
E02000578,Kensington and Chelsea 002,Works mainly from home,792
E02000579,Kensington and Chelsea 003,Works mainly from home,2155
E02000580,Kensington and Chelsea 004,Works mainly from home,1986
E02000581,Kensington and Chelsea 005,Works mainly from home,1043
E02000582,Kensington and Chelsea 006,Works mainly from home,2216
E02000583,Kensington and Chelsea 007,Works mainly from home,2215
E02000584,Kensington and Chelsea 008,Works mainly from home,2444
E02000585,Kensington and Chelsea 009,Works mainly from home,2373
E02000586,Kensington and Chelsea 010,Works mainly from home,2001
E02000587,Kensington and Chelsea 011,Works mainly from home,2190
E02000588,Kensington and Chelsea 012,Works mainly from home,1875
E02000589,Kensington and Chelsea 013,Works mainly from home,2298
E02000590,Kensington and Chelsea 014,Works mainly from home,1549
E02000591,Kensington and Chelsea 015,Works mainly from home,1729
E02000592,Kensington and Chelsea 016,Works mainly from home,2012
