Middle layer Super Output Areas Code,Middle layer Super Output Areas,Warehouse
E02000713,Merton 025,4
E02000714,Newham 001,28
E02000715,Newham 002,9
E02000716,Newham 003,20
E02000717,Newham 004,18
E02000718,Newham 005,1
E02000719,Newham 006,34
E02000720,Newham 007,6
E02000721,Newham 008,21
E02000722,Newham 009,56
E02000723,Newham 010,9
E02000724,Newham 011,5
E02000725,Newham 012,25
E02000727,Newham 014,50
E02000728,Newham 015,11
E02000729,Newham 016,19
E02000730,Newham 017,25
E02000731,Newham 018,20
E02000732,Newham 019,13
E02000733,Newham 020,56
E02000734,Newham 021,5
E02000735,Newham 022,30
E02000736,Newham 023,11
E02000737,Newham 024,11
E02000738,Newham 025,3
E02000739,Newham 026,43
E02000740,Newham 027,19
E02000741,Newham 028,58
E02000742,Newham 029,8
E02000743,Newham 030,18
E02000744,Newham 031,41
E02000745,Newham 032,5
E02000746,Newham 033,3
E02000747,Newham 034,79
E02000748,Newham 035,0
E02000749,Newham 036,8
E02000751,Redbridge 001,29
E02000752,Redbridge 002,6
E02000753,Redbridge 003,1
E02000754,Redbridge 004,5
E02000755,Redbridge 005,15
E02000756,Redbridge 006,86
E02000757,Redbridge 007,27
E02000758,Redbridge 008,3
E02000759,Redbridge 009,10
E02000760,Redbridge 010,4
E02000762,Redbridge 012,5
E02000763,Redbridge 013,0
E02000764,Redbridge 014,102
E02000765,Redbridge 015,5
E02000767,Redbridge 017,19
E02000768,Redbridge 018,7
E02000770,Redbridge 020,5
E02000772,Redbridge 022,12
E02000773,Redbridge 023,10
E02000774,Redbridge 024,14
E02000776,Redbridge 026,9
E02000777,Redbridge 027,24
E02000779,Redbridge 029,28
E02000781,Redbridge 031,1
E02000782,Redbridge 032,21
E02000783,Redbridge 033,1
E02000784,Richmond upon Thames 001,78
E02000785,Richmond upon Thames 002,54
E02000786,Richmond upon Thames 003,61
E02000787,Richmond upon Thames 004,57
E02000788,Richmond upon Thames 005,30
E02000789,Richmond upon Thames 006,42
E02000790,Richmond upon Thames 007,52
E02000791,Richmond upon Thames 008,133
